id	context_id	question_text	expected_answer
q203	ctx015	Does Jasmine eat a donut?	NO
q204	ctx015	Do they visit the park at night?	NO
q205	ctx015	Is Maya male?	NO
q206	ctx016	Does David wake up early?	YES
q207	ctx016	Does David go running?	YES
q208	ctx016	Does David eat eggs?	YES
q209	ctx016	Does David take the subway to work?	YES
q210	ctx016	Does David drink water while running?	YES
q211	ctx016	Does David watch TV while eating?	YES
q212	ctx016	Does David drive to work?	NO
q213	ctx016	Does David have a job?	YES
q214	ctx016	Does David eat cereal?	NO
q215	ctx016	Does David exercise in a gym?	NO
q216	ctx016	Does David sleep late?	NO
q217	ctx016	Does David go to bed during the text?	NO
q218	ctx016	Does David run for less than an hour?	YES
q219	ctx016	Does David take a shower?	YES
q220	ctx016	Does David work from home?	NO
q221	ctx017	Do Alex and Taylor host a dinner party?	YES
q222	ctx017	Does Taylor cook?	YES
q223	ctx017	Does Alex set the table?	YES
q224	ctx017	Do they serve chicken?	YES
q225	ctx017	Does Taylor serve dessert?	YES
q226	ctx017	Do they have six guests?	YES
q227	ctx017	Does anyone pay for the food?	NO
q228	ctx017	Do they eat cake for dessert?	YES
q229	ctx017	Do they clean up after midnight?	YES
q230	ctx017	Do guests arrive before 7 PM?	NO
q231	ctx017	Does Taylor cook vegetables?	YES
q232	ctx017	Does Alex cook?	NO
q233	ctx017	Do they serve wine?	YES
q234	ctx017	Do guests leave early?	NO
q235	ctx017	Is Alex female?	YES
q236	ctx018	Does Nora check into a hotel?	YES
q237	ctx018	Does Nora drive to the hotel?	NO
q238	ctx018	Does Nora's room face the ocean?	YES
q239	ctx018	Does Nora unpack her suitcase?	YES
q240	ctx018	Does Nora take a nap?	YES
q241	ctx018	Does Nora eat fish and chips?	YES
q242	ctx018	Does Nora go to the beach?	YES
q243	ctx018	Does Nora collect seashells?	YES
q244	ctx018	Does Nora stay on the first floor?	NO
q245	ctx018	Does Nora eat dinner in her room?	NO
q246	ctx018	Does Nora go swimming?	NO
q247	ctx018	Does Nora nap for more than two hours?	NO
q248	ctx018	Does Nora stay the night?	YES
q249	ctx018	Does Nora eat by candlelight?	NO
q250	ctx018	Does Nora travel alone?	YES
q251	ctx019	Does Leo take piano lessons?	YES
q252	ctx019	Is Leo seven years old?	YES
q253	ctx019	Does Leo play "Twinkle, Twinkle, Little Star"?	YES
q254	ctx019	Does Mrs. Henderson give Leo candy?	YES
q255	ctx019	Does Maria pay for the lesson?	YES
q256	ctx019	Is Mrs. Henderson male?	NO
q257	ctx019	Is Leo male?	YES
q258	ctx019	Does Leo eat during the lesson?	NO
q259	ctx019	Does Maria wait in the living room?	NO
q260	ctx019	Does Leo learn a new song?	NO
q261	ctx019	Do they go to the grocery store?	YES
q262	ctx019	Does Leo struggle with the lesson?	YES
q263	ctx019	Is Maria Leo's mother?	YES
q264	ctx019	Does Leo finish without mistakes?	NO
q265	ctx019	Does Leo learn to play the guitar?	NO
q266	ctx020	Does the electricity go out?	YES
q267	ctx020	Do Michael and Jessica light candles?	YES
q268	ctx020	Does Michael open the refrigerator?	YES
q269	ctx020	Does Jessica find a flashlight?	YES
q270	ctx020	Does Michael start a fire?	YES
q271	ctx020	Do they eat crackers?	YES
q272	ctx020	Does the electricity come back on?	YES
q273	ctx020	Is Lucas their son?	YES
q274	ctx020	Does Lucas cry?	NO
q275	ctx020	Does Michael close the refrigerator damper?	NO
q276	ctx020	Does Jessica go outside?	NO
q277	ctx020	Do they eat a full meal?	NO
q278	ctx020	Does the power stay out all night?	NO
q279	ctx020	Is Lucas scared?	NO
q280	ctx020	Does Michael use the fireplace?	YES
