id	text
ctx011	Marcus stood in front of the full-length mirror, adjusting his tie for the third time. He was nervous about the job interview that morning. He picked up his blazer from the bed and put it on, checking himself one more time. His sister Sarah watched from the doorway and suggested he wear his blue shirt instead. He took off the blazer, removed the white shirt, and pulled on the blue one. After buttoning it up, he put the blazer back on. He grabbed his portfolio and headed out the door, walking three blocks to the office building. The interview lasted two hours, and the manager offered him the position on the spot. Marcus accepted happily and went to a nearby café to order a celebratory coffee. He drank it while reading a newspaper.
ctx012	The rain tapped against the window as Elena sat at her desk, staring at her computer screen. She had been working on her novel for six months and felt stuck on chapter twelve. Her cat, Whiskers, jumped onto the desk and knocked over her pen. Elena sighed and picked it up, petting the cat briefly. She decided to take a break and walked to the kitchen. She opened the refrigerator and took out a container of pasta leftovers. She put it in the microwave for two minutes and ate while standing by the counter. After eating, she returned to her desk, fed Whiskers some treats, and managed to write three more paragraphs before dinner time.
ctx013	The family reunion took place in the backyard on a Saturday afternoon. Grandma Clara brought her famous apple pie, while Uncle Tom brought a cooler full of sodas and beers. The children ran around playing tag, and teenage cousins sat on blankets looking at their phones. Dad fired up the grill and started cooking burgers and hot dogs. Mom prepared salads and set the table with paper plates. The conversation centered around how much everyone had grown since the last gathering. Little Maya accidentally spilled juice on her dress and started crying. Her older brother Liam comforted her and helped clean the mess. As evening approached, everyone gathered for group photos before saying goodnight.
ctx014	Emma walked into the downtown department store with a shopping list in hand. She needed a winter coat, some comfortable work shoes, and a birthday gift for her mother. She spent thirty minutes in the shoe department trying on several pairs before selecting a black pair with good arch support. Moving to the coat section, she found a cream-colored wool coat that fit perfectly. For her mother's gift, she browsed the jewelry counter and chose a silver necklace with a small pendant. At checkout, the clerk offered her a store credit card. Emma declined politely. She carried her shopping bags to her car and drove home, stopping at a pharmacy to pick up some medicine on the way.
ctx015	Jasmine and Maya met at their favorite bookstore café every Tuesday evening. Jasmine arrived first and ordered a large latte and a blueberry muffin. Maya arrived five minutes later, ordered herbal tea, and joined Jasmine at the corner table. They discussed the book club's latest selection, a mystery novel set in Victorian England. Jasmine had already finished it and revealed the ending, much to Maya's annoyance. Maya asked for the check and paid with cash before Jasmine could offer to split it. They walked outside together and decided to visit the nearby park to continue their conversation. On the way, they stopped at a street vendor and bought some roasted nuts to share.
ctx016	The alarm rang at 5:30 AM and David groaned before rolling out of bed. He put on his running shoes and a lightweight jacket, then headed out for his morning exercise. He ran along the river path, passing a few other early risers and a group of rowers on the water. After thirty minutes, he stopped at a bench to catch his breath and drink some water from his bottle. He ran back home, took a quick shower, and dressed for work. In the kitchen, he scrambled three eggs and toasted two slices of bread. While eating, he watched the morning news on television. He left his apartment at 7:45 AM, taking the subway to his office in the financial district.
ctx017	Alex and Taylor hosted a dinner party for six friends on Friday night. Taylor spent the afternoon cooking a roast chicken with vegetables, while Alex set the dining table and chilled wine bottles. Guests arrived around 7 PM, bearing gifts of wine and dessert. Everyone mingled in the living room, drinking cocktails and eating appetizers that Taylor had prepared earlier. At 8 PM, they all sat down for dinner. The conversation flowed from work updates to vacation plans and movie recommendations. After the main course, Taylor served homemade chocolate cake for dessert. Coffee and tea were offered as the evening wound down. The last guests departed at midnight, and Alex and Taylor cleaned up the kitchen together.
ctx018	Nora checked into the small coastal hotel after a six-hour drive. The receptionist handed her a key and pointed toward the elevator. Her room on the third floor faced the ocean, with a small balcony and two single beds. She unpacked her suitcase, hanging her clothes in the closet and placing her toiletries in the bathroom. Tired from the journey, she lay down on one of the beds and napped for an hour. When she woke, she went down to the hotel restaurant. She ordered fish and chips and ate while watching the sunset through the large windows. After dinner, she took a long walk on the beach, collecting seashells until the sky turned dark.
ctx019	The music lessons took place in Mrs. Henderson's living room every Wednesday afternoon. Seven-year-old Leo sat on the piano bench, his feet barely touching the pedals. Mrs. Henderson sat beside him, guiding his hands to the correct keys. His mother, Maria, waited in the kitchen, reading a magazine and drinking tea. Leo struggled with the scales but managed to play "Twinkle, Twinkle, Little Star" without mistakes by the end of the lesson. Mrs. Henderson gave him a small piece of candy as a reward. Maria paid the fee and thanked the teacher. On the walk home, Leo talked excitedly about learning a new song next week. They stopped at the grocery store to buy ingredients for spaghetti dinner.
ctx020	When the electricity went out during the thunderstorm, Michael and Jessica lit several candles throughout the house. The TV screen went black, and the Wi-Fi router stopped blinking. Michael went to the kitchen and opened the refrigerator, warning everyone to keep the door closed to preserve the cold. Jessica found a flashlight in the utility drawer and checked on their young son, Lucas, who was playing with building blocks by the window. Lucas seemed fascinated by the lightning flashes. Michael started a fire in the fireplace to keep the room warm. The family sat together telling stories and eating crackers by candlelight. Three hours later, the lights came back on, and Michael turned off all the candles and closed the fireplace damper.
